Brand,Model,Star,Title,Date,Pros,Cons,Other
AMD,YD270XBGAFBOX,5,Great CPU,2019-02-10,Pros:I waited a month before writing my reviews on the build I put together with boxing day sales. I picked up this CPU on sale and so far I can say that I have no complaints. The cooler that it came with was effective enough to keep the temperatures nice and stable (around 68 deg C).My only recommendation is to get some good after market thermal paste for the CPU. The stuff that is pre-applied will probably be ok but I wouldnt risk it personally.,"Cons:No cons yet, if anything changes, I will update","Other Thoughts:Just for reference, my build is: Ryzen 7 2700, 16GB G.Skill Trident 3200, ASUS Prime X-470 Pro mother board, MSI RX Vega 64 Airboost. I also have two Corsair 140mm magnetic fans for intake cooling set up with positive pressure. The case is a Carbide 270R (which is a great budget case if you are building a decent computer and want good cooling with lots of room)"
AMD,YD270XBGAFBOX,5,Glad I switched back to AMD,2019-02-08,Pros:- 8c/16t monster of a chip for half the price of the 9900k.,Cons:- None so far.,"Other Thoughts:Sure the 9900k beats Ryzen when trying to squeeze out every possible frame, but not enough to justifying spending double in my opinion. You can buy this chip, a decent b450/x470 board and ram for around the same price as the 9900k alone, which is insane. Can't wait for Ryzen 2."
AMD,YD270XBGAFBOX,5,Works great,2019-02-07,"Pros:Chip works amazing in my gf's new computer, she runs every game on ultra, along with a good GPU, and ram, definitely recommend it, and considerably cheaper than getting an i-7 or i-9",Cons:havent found any,None
AMD,YD270XBGAFBOX,5,Very Happy,2019-02-06,"Pros:- self OC is deadly, runs high 4.2 regularily.","Cons:- devours the memory, i run B450F 3333 with 16GB Vengence LPX 3333 and im only hitting like 78th percentile for memory on passmark because of it.",None
AMD,YD270XBGAFBOX,5,"Um, yeah. This thing is fantstic!",2019-02-01,"Pros:Got the Chip for just under 300.00 and for the price it is a great value.Only do 1080P gaming, and paired it with a Vega 64, and has been a great comboGreat in Blender and anything else I throw at it.",Cons:Really can't think of any,"Other Thoughts:Chip like to stay cool to get most of XFR. Under custom whole house water loop, I can get 4.4ghz benchable and 4.3 stable on all cores. Under full load, chip stays under 45*C. Without the custom loop, 4.3 was hard to achieve.Not sure why some are saying the performance was killed with AGESA updates. Haven't noticed this, but also on 1.0.0.6"
AMD,YD270XBGAFBOX,5,"Great Cpu, Easy overclocking",2019-01-31,"Pros:I was able to manage a stable over clock of 4.2 on the factory cooler that comes with this cpu, Through bios. I was extremely surprised, Handles gaming like a breeze at ultra settings if paired with a proper graphics card.",Cons:None,None
AMD,YD270XBGAFBOX,5,Finally a good rival for Intel,2019-01-31,Pros:- Pretty much an overkill for any specs for further games to come- Amazing driver (AMD Ryzen Master)- It will boost to 4.3 ghz with the default setting (it will fluctuate from 2.4 ghz to 4.3 ghz on heavy load)- I manually set it to stay at 4.1ghz and go to 4.3ghz-ish on heavy load- Doesn't bottleneck with my RTX 2080,"Cons:- Took a long time to ship, it comes from the US so expect a long shipping time (roughly two weeks)- Nothing else","Other Thoughts:I would definitely recommend this product to anyone, I always been a fan boy of AMD cpu but the last time I had to build myself a pc, AMD wasn't doing cpus anymore so I had to go with Intel. I'm SO glad to be back with AMD !"
AMD,YD270XBGAFBOX,4,Good CPU,2019-01-30,Pros:Not easily overloaded. most of the time works with minimal efforts for middle range tasks.,Cons:System not noticeably faster than AM3+Too costly as an overall build versus benefits (If upgrading from AM3),"Other Thoughts:AMD could include a taller heat sink and quiet fan, we'll pay for it. The included sink and its fan are j a joke."
AMD,YD270XBGAFBOX,5,Runs great on Linux,2019-01-29,"Pros:I compile like no other. Great for dev, gaming and other computing hobbies. It runs beautifully on Linux.",Cons:None,None
AMD,YD270XBGAFBOX,5,Very solid indeed.,2019-01-29,"Pros:-I've been running this for 8 months and have had 0 problems.-The included wraith spire fan is awesome, even though im using an AIO water cooler.-I'm overclocking over the max boost limit with 0 issues and cool temps.",Cons:-none,None
AMD,YD270XBGAFBOX,5,Amazing all the way HELLS TO THE YES!!,2019-01-23,Pros:Everything about my build using this processor was pretty much flawless!!,Cons:none!,Other Thoughts:I would definitely recommend this processor to everyone who wants to build a bad @ $ $ box!!
AMD,YD270XBGAFBOX,5,NOW I'M PLAYING WITH POWER!!!,2019-01-22,Pros:This processor is out of sight! It was easy to install and the WRAITH cooler it comes with really does the job! Stressing it for over 15 minutes and it still stayed at no higher than 80 degress C. This is a great alternative to the rising prices of the Intel chips. Try this and you won't be disappointed. The WRAITH  cooler has RGB and it is addressable but you have to download the softwarefrom AMD's website in order to change the colors on it. And you also have to use the USB cable that comes with it and plug it into a RGB  header on the motherboard also.,Cons:None.,None
AMD,YD270XBGAFBOX,5,None,2019-01-21,Pros:the delivry was very fast and the cpu work perfectly fine. The fan that come up with the cpu its pretty amazing as well,Cons:did have any problem.,None
AMD,YD270XBGAFBOX,5,good processor,2019-01-20,Pros:just got it and hooked it up in my new PC build runs AC odyssey on full blast with no issues-the prism cooler is having no trouble keeping it cool did ben mark on cineabench with no overclocking and temps got no higher than 67c-adjusting the RGB was a sinch with the coolmaster paneli-,Cons:for the free game they want you to subscribe to there newsletter no big deal until they want you to download a program to verify the processor and I got a error the said pct wasn't genuine maybe cause I need a windows key but still if they want a verification they could ask for the recipe from new egg or something instead of downloading a program that most ppl will unistall after they got the game waiting till I get the cash to activate windows if I still have trouble looks like ill be calling them ...,Other Thoughts:will recommend and keep buying from AMD its cheaper than intel and be honest with gaming ppl not rly going to notice any difference wife got a i7 and I rly dont see anything different at least with the games now days
AMD,YD270XBGAFBOX,5,great cpu for professional workloads,2019-01-13,"Pros:Great for video editing, great for streaming, okay for gaming, overclock okayish on the stock cooler but better to leave it at stock settings instead, lots of cores and threads","Cons:Stock cooler can get loud, isn't best performer for gaming.",Other Thoughts:If you are just gaming get the ryzen 5 2600x or ryzen 5 2600 with an aftermarket cooler and it will be better than this cpu. Other than that this cpu is a beast!
AMD,YD270XBGAFBOX,5,works great!,2019-01-12,Pros:a lot more performance than my old ryzen 3 2200g,Cons:canot overclock like intel at 5 ghz,None
AMD,YD270XBGAFBOX,5,None,2019-01-12,Pros:Fast and perfect,Cons:None,None
AMD,YD270XBGAFBOX,5,Awesome Awesome sauce!  Best value for overall performance.  They are pushing Intel aside.,2019-01-11,Pros:Super fast for multitasking.  I run virtual machines all day long for work and then game sometimes in the evenings and this thing does it all.  I don't even need to close any VMs to load a game.  I also can stream 4k on one monitor and game on the other with a VM loaded on the 3rd.  Get full 75FPS (freezync) on the game monitor with no frame drop.*****---Buy this now and sell it on *online_marketplace* when the Ryzen 3000 (16 core 5GHz) comes out in ~6 months.,Cons:Get DDR4 3000 RAM that is approved for your x470 motherboard.  It can be hard to tweak RAM perfectly for this CPU and base 2100MHz will starve this CPU.  Don't overclock the cores at all.  Just get RAM that will run at least 3000 and you are golden.,Other Thoughts:Includes cooler!Great on ~$120 x470 motherboardsGet AMD approved DDR4 3000+ RAM and make sure to set it right in BIOS.
AMD,YD270XBGAFBOX,5,Computer turned on the first time!!!,2019-01-06,"Pros:I can write code, watch Netflix, listen to Pandora, track the stock market, and play a game or two all at the same time.",Cons:Runs a bit hotter than I like with Noctua NH-D15 SE-AM4.Limited clock speed.,"Other Thoughts:Will be upgrading to 3700X, AM4 socket FTW."
AMD,YD270XBGAFBOX,4,Wish I could rate 4.5/5,2019-01-05,"Pros:The cpu is priced right and the cooler makes a great gift to a friend if you plan to go aftermarket, I gave it to my friend with a 2600 build.  With my Cooler Master AIO liquid cooler I'm able to get the cpu to 4.3 GHz on all cores and have zero stability issues.  Temps max out at about 73C so still plenty of headroom for cooling even when under 100% utilization.  Able to stream while gaming and will be doing some video editing as well.","Cons:I currently have an Rx 580 and upgraded to a RTX 2070, but my performance didn't increase all that much in PUBG, maybe only 10fps, this may be because the CPU was bottlenecked even at 4.3ghz the IPC is still not as good as a 8700k from Intel at 5ghz.  I wish I could overclock this thing higher to get that performance, so I returned my 2070 :( I guess you can say this cpu saved me 800 bucks? Or maybe it was my guilt for spending 800 dollars on a GPU.","Other Thoughts:Can't wait to see where Zen 2 goes, AMD is on the right track to keep competition in the PC component marketplace."
AMD,YD270XBGAFBOX,4,Gets the job done,2019-01-04,Pros:It doesn't have a problem with anything I throw at it.,Cons:It runs warm even with a 240mm liquid cooler.,Other Thoughts:I tried overcooking this processor and only have success to 4.1 GHz. Heat doesn't seem to be the issue at all as it stays under 65C overcooked to 4.1 GHz anything above that and I experience stability issues.
AMD,YD270XBGAFBOX,5,Budget Beast,2018-12-31,Pros:Does everything it claimsEasy set upComes with cooler if you don't want to spend any extra cash,Cons:Nothing of the top of my mind.,"Other Thoughts:Runs great, affordable, easy to use. I swapped out the cooler they included (which is not a bad cooler by any means) for liquid cooling, but love it so far."
AMD,YD270XBGAFBOX,3,slightly deceptive,2018-12-31,Pros:I literally just received the package. haven't tried it out yet.,"Cons:the box was kind of crushed. the CPU box was fine and upon further inspection everything inside was undamaged.However, printed on the side of the box, and the front, it says that contained in this box is a AMD processor, AMD thermal solution, installation instructions, and warranty info.now I may be thinking that thermal solution is referring to the mall paste but I think they mean the fan and heatsink. But, there are no installation instructions at all.",Other Thoughts:missing the instructions isn't a downside for me. I've been building computers for a while so I don't really need them.I just thought I'd share that.
AMD,YD270XBGAFBOX,5,Best Value processor for gaming,2018-12-29,Pros:Runs everything wellCan also stream at decent setting while playing,Cons:None so far,"Other Thoughts:I put this in with a thermaltake aio cooler and haven't seen it go above 55 celsius even after long gaming sessions. Great power, great price (I paid around $260 on BF), and runs flawlessly"
AMD,YD270XBGAFBOX,5,The all rounder CPU,2018-12-28,"Pros:Fast, Affordable.",Cons:none,None
AMD,YD270XBGAFBOX,5,"Fine, so far",2018-12-25,Pros:Just one thing if you are here for multitasking... Trust me you are definitely in the right place (perfect for gaming also),"Cons:The shipment toke 10 days in the airport stucked because newegg didn't send the clearance fast, it should of arrived earlier hy more than 10 days",None
AMD,YD270XBGAFBOX,4,Decent Processor,2018-12-24,"Pros:Great upgrade from my FX8350, paired with an Asrock X470 Taichi and 16GB of GSkill Trident 3200 MHz Memory.  Much faster than my previous system, glad I waited for the Ryzen 2000 series before upgrading.","Cons:The Ryzen 7 CPU's, the 2700X specifically uses a +10 degree temperature offset to maintain fan consistency.  I've noticed with my setup that due this +10 degree temperature offset, that my system doesn't boost as high as it can.",None
AMD,YD270XBGAFBOX,5,good processor,2018-12-20,Pros:8 cores 16 threads for less then 500 bucks. solid performance all around good buy. the motherboards are pretty cheap compared to the blue team.,Cons:needs expensive ram to gain performance. Its ok at overclocking but oc the ram brings better performance.,Other Thoughts:havnt had a problem out of the chip like at all. no patches have slowed down performance like intel has. bc of the core count and performance will be a good chip for yrs to come.
AMD,YD270XBGAFBOX,5,None,2018-12-19,Pros:Works,Cons:No cons,None
AMD,YD270XBGAFBOX,5,great cpu and great price,2018-12-19,Pros:fast cpu with a rgb cooler,"Cons:some bug for using old version win 10, must download the newest windows if use this cpu",None
AMD,YD270XBGAFBOX,5,Amazing performance!,2018-12-18,"Pros:- Performance is really satisfying!- Temperature is not bad with stock wraith cooler, 40 degrees at idle and around 60 under very heavy load- Wraith cooler is really shiny!- Really good deal, I got it for only 330 CAD during Black Friday.",Cons:None really so far!,"Other Thoughts:The PGA type CPU is still very hard to work with. Extremely easy to pull the entire CPU out when uninstalling the cooler, and if you happen to drop the CPU on the floor, you are pretty much in big trouble. Hope AMD can switch to LGA soon."
AMD,YD270XBGAFBOX,5,Faster Than My AMD FX 9590.,2018-12-18,Pros:Love this Processor 40% Improvement over my AMD FX 9590 Rig.Runs Cool with the EVGA 280 Closed Loop Water Cooler.,Cons:None,Other Thoughts:Will be Purchasing more of these in the Future for my other PC Upgrades.
AMD,YD270XBGAFBOX,5,Fantastic,2018-12-15,"Pros:We all know the Ryzen 7 is awesome, but I didn't expect the included cooler (Wraith Prism) to be good enough for my purposes. It very much is. The thing takes everything I can throw at it from Prime95 without breaking 75C.",Cons:None!,None
AMD,YD270XBGAFBOX,5,Super fast and a bargain for the price.,2018-12-15,Pros:Fast CPU and comes with a stock cooler saving the additional purchase.  Acquired it as a Combo with the ASRock x470 Mobo. Both are terrific and easy to install.,Cons:None.,Other Thoughts:Highly recommend.
AMD,YD270XBGAFBOX,5,excellent,2018-12-13,Pros:Fast;Does everything I want;,Cons:Noisy stock cooler,None
AMD,YD270XBGAFBOX,5,Bang for the buck can't beat it.,2018-12-12,Pros:Had the 8350 was time to upgrade. There is a big difference in performance between them. I kept my same video card and I'm not getting screen tearing and artifacts now.,Cons:None that I can think of everything was straight forward on installation.,None
AMD,YD270XBGAFBOX,5,Amazing,2018-12-11,Pros:- multithreaded applications are amazing- gaming is amazing- absolutely fantastic cooler- runs cool 26 on idle and 56 in gaming and around 60 on a heavy work load.,Cons:I can't think of any to be honest.,Other Thoughts:This processor does not need to be overclocked it's not an Intel processor. If you have good cooling it will boost itself. My processor sits itself at 4.2ghz boost without me doing anything. Pair it up with 3000mhz of higher ram and it's an absolute monster of a processor. Why spend more on an Intel processor that you have to overclock or buy an aftermarket cooler for?I had the i7 7700k prior to this processor and I see a huge difference in performance between the two processors in both gaming and work applications.
AMD,YD270XBGAFBOX,5,"love it, Extremely fast.",2018-12-11,"Pros:Extremely fast with multiple threads and cores, good stock cooler, perfect for multithreaded workloads, works pretty decent for gaming.",Cons:Single core performance is a little lacking compared to Intel,Other Thoughts:I was able to overclock this baby to 4.2ghz at 1.3345v to the core. The cpu cooler gets a bit loud when you do this but it keeps it cool. The max temperature I got on my cpu so far with the overclock is 76*c
AMD,YD270XBGAFBOX,5,Excellent processeur,2018-12-09,"Pros:- Fonctionne super bien avec le radiateur fournit, fonctionne entre 4 et 4,1 ghz en permanence. il est seulement à 34 degrés Celsius (environ 12 au dessus de la température pièce) il monte à 65 degrés Celsius lors d'un test cinebench, dans cinebench j'ai fait un score de 1745 cu (sans l'avoir overclocker).","Cons:Pour le moment, rien.","Other Thoughts:Je recommande ce processeur, il est parfait. Je compte garder mon ordinateur pendant plusieurs années, c'est pour ça que j'ai acheter un processeur aussi cher."
AMD,YD270XBGAFBOX,5,Performs well as expected,2018-12-09,"Pros:I haven't done a lot of testing, but there are several other reviews out there already.I have the CPU running at stock settings. Speed boosts to 4.3 GHz when gaming, 4.1 Ghz running Prime95. CPU temp maxes out around 75 C with the included cooler.The Wraith Prism RGB lighting effects are cool...",Cons:The instructions are minimal. I had to search online what the included cables are for and what software is needed to control the RGB lighting on the cooler.,Other Thoughts:Bought it on sale during Cyber Monday. Definitely worth the price considering it has 8 cores.
AMD,YD270XBGAFBOX,5,Amazing! Blazing Fast!,2018-12-09,Pros:Excellent product. It exceeded my expectations in performanceLove the RGB cooler fan!Runs cool when not overclockedGreat bang for your $$,Cons:None that I noticed,None
AMD,YD270XBGAFBOX,1,over heats easy,2018-12-07,Pros:- 8 cores- fast,Cons:- doesn't ram well enough- get hot very easy- the stock fan is trash,"Other Thoughts:This will be my last amd build after see how badly this worked with my 3,200 32gb gskill ram.  I'm building Intel next and I've been an AMD user my entire LIFE!!"
AMD,YD270XBGAFBOX,5,AMD 2700X is a beast!!!,2018-12-04,Pros:8 cores.. 16 threads,Cons:none,"Other Thoughts:So i purchased this CPU last week.. I'm using it for both gaming and design..I didn't overclock it or anything and its running at 4.1ghz on my Asus mobo ( B450-F gaming)I use 2D and 3D design softwares and playing games such as BTF5, Assassins creed odyssey, GTAV etc.This CPU with my 1080 graphics card and 16gb 3200hz of memory run everything without any problem..Amazing performance and great price as always from AMD..I definitely recommend this cpu"
AMD,YD270XBGAFBOX,5,1790-1815 Cinebench with stock cooler.,2018-12-04,"Pros:Incredible value propositionStock Cooler works well enough, little tricky to install (try unscrewing the retention bars on the motherboard if you can't get it on)Much improved Memory Stability.","Cons:CCX Interconnect latency. But we all better get used to it, chiplets are the future of processors.Voltages can reach 1.5v on the core during peak XFR. It's scary, and even though AMD Engineers say it's perfectly fine, it will never stop bugging you for some reason. (All core 4.0GHZ runs at a much more palatable 1.35V)Some Errata still exist, because Zen is a new architecture. Make sure your copy of Windows is up to date before installing a Zen CPU (Ideally create a new ISO with microsoft's helpful utility)","Other Thoughts:Not much to say, it's a CPU, it handles pretty much everything you throw at it.Yeah, it's not as fast as Intel's top shelf desktop stuff. Intel earned their place at the top through fair and foul means like any good corporation, so if the extra 5-20% performance is worth it to you (Depending on workload) by all means, go for it. Competitive gamers, and people who do render workloads that can leverage the IGPU especially would benefit more from Intel's CPUs, everyone else, wouldn't be able to tell the difference."
AMD,YD270XBGAFBOX,5,None,2018-12-03,Pros:Delivered quickly and for a reasonable price,Cons:We bought the wrong one,Other Thoughts:We heard this processor is bbn one of the best unfortunately we didn't check our socket type 1st and it didn't fit
AMD,YD270XBGAFBOX,5,Awesome,2018-12-02,"Pros:You get what everyone is raving about, really nice cooler.",Cons:None,Other Thoughts:Highly recommend.
AMD,YD270XBGAFBOX,5,"Almost replaced an AMD FX with an i7-8700k, went with this at the last moment. No regrets!",2018-11-27,"Pros:- Has as many threads as my computer has gigabytes of RAM.- Great for workbench loads- Great for gaming loads- Great for Tornado Trouble- Comes with the Wraith Prism cooler, fully equipped with LED lighting and is the best stock cooler you will ever own (maybe even the best air cooler in general) [I actually switch from water back to air because of this cooler]- Much more power efficient than my old Piledriver CPU.",Cons:- CPU itself is not RGB,"Other Thoughts:As my title says, I used to own an FX-8320 that I somehow managed to overclock to almost 5 GHz on a 150 watt motherboard for 4 years. Don't ask how. I don't know. It just worked. My power supply's digital link says that the CPU was drawing almost 250 watts at times. Anyways, the FX-8320 was becoming slower and slower compared to the market, and the power consumption for such a slow CPU was absurd. I looked into upgrades and had planned an Intel i7-8700k build to replace my obsolete FX. Just before ordering, I stumbled upon this here Ryzen 7 2700X, and I'm glad I did.The Intel i7-8700k is only slightly faster in single- and quad-core programs. The Ryzen, however, is a multitasking behemoth that performs much better when utilizing its full power. Most games that I play are capable of multithreading to this level anyways. Some may debate me on which CPU is really the best, but my vote goes for this one. Great purchase!"
AMD,YD270XBGAFBOX,5,"Working Really Good, My First Team Red Experience",2018-11-27,"Pros:- Benchmarks real nice (compared to my old 4770K, you'd hope it was better right? 8] )- Running all my games, servers, etc real good- Made my storage system function better with the added PCI Lanes n'at- The cooler that comes with it is really cool, works well","Cons:- I have not found any really, if your my friends, ""it isn't from Team Blue, so it's no good"" LOL!",Other Thoughts:- It does run pretty hot underload but it never goes anywhere near too hot.
AMD,YD270XBGAFBOX,5,In my Helios 500,2018-11-26,"Pros:Runs cool as a cucumber. Pushed it to 4.075GHZ whilst staying under 88 degrees. Most of the time it's at 4.0 GHZ and below 80 degrees.Builds code, machine learning models, games, audio/video/graphics.Truly a powerhouse!!!Great work AMD!",Cons:ABSOLUTELY NONE!,None
AMD,YD270XBGAFBOX,5,Decent Upgrade,2018-11-22,Pros:- Tons of cores/threads- Semi decent stock clock speeds- Older am4 motherboard compatibility,Cons:- Intel is still a bit better for gaming because of single core performance-Don't expect turbo boost to go above 4.0GHz on stock clocks,"Other Thoughts:I originally bought a ryzen 1600, but then I bought a gtx 1080. I wanted to upgrade, but didn't feel like getting a whole new motherboard for an intel. This upgrade definitely helped my frames in demanding games. Video rendering and general tasks are noticeably snappier now. The upgrade was easier than expected. Just make sure you have the latest bios if you have an older am4 mobo. Put a H55 AIO cooler on it and never go above  60C. Future proof enough that some day I may overclock a tad."
AMD,YD270XBGAFBOX,4,2700x is power,2018-11-21,"Pros:I've been with Intel for the last 10 years, and I wanted to try something different for a change, and for the price, I wanted to put the 2700x in the mix, paired with a Crosshair VI Extreme.  So far, the chip is incredible with multitasking and the entire Windows experience is smoother than my older 6700k.  I will admit, having 20-25 tabs open most of the time, VMs, and typical programming stuff ... the 2700x far outperforms the 6700k in multitasking no doubt.  All cores are used in Windows, which surprised me, and the rendering speed was well worth it when tested.  By the way, the Aura looks great!","Cons:I have G.Skill F4 3200C16D-GTZ memory, and it won't run 3200, need to keep it at 2933 (might be other timings).the 2700x runs hot, often hitting over 80 degrees celcius with the included stock cooler, which does get loud and keeps the clock rates lower, 3.9 with all cores 100% (but still above the rated 3.7) ... and truly uses all its 105 watts to power itself which surprised me more often than anticipated.  Gaming frame rates are lower than Intels, even my 6700k with many games, but, the experience has been smoother ... no more hiccups with cpu and drives.  Honestly, for $60 more, I should have bought the 8700k this summer when it was cheaper $449 for the 8700k, where I bought the 2700x for $429.","Other Thoughts:Going to put a AIO water cooling unit on it, see if the game changes.  I know that Ryzen likes 3466 memory, so, that too, might be the next purchase.  All this paired with 980 Pro 512GB for speed!BUT, for price ... the 2700x is by far, the best choice out there!  And I wanted something more for work, than play this time.  And it has not disappointed."
AMD,YD270XBGAFBOX,5,I've never owned an Intel chip,2018-11-21,"Pros:- Fast, reliable and priced low- I've gotten all cores OC'd to 4.2 stable.  4.3 BSODs on Cinebench- Easy installation- Near instant boots with NVMe drive for OS.",Cons:- I'd like to see the thermals come down a bit.  I have a Dark Rock Pro 4 sitting on top of this thing with GC Extreme thermal paste and I am still getting high 30's low 40s idle.,Other Thoughts:- would recommend since team blue always tacks on like 200 to 300 bucks for equiv CPUs- I have done nothing that choked out this CPU.  I have thrown everything at it and it just keeps on trucking.Specs:Asus Crosshair VII Hero16 gig G.Skill 3600mhz (Ryzen approved) Memorybe quiet! Dark Rock Pro 4EVGA 850w G3 PSUGigabyte Aorus 2080All that sitting in Phanteks Enthoo Evolv X case2x 140mm Phanteks intake fans1x 140 mm Phanteks exhaust fan3x 120mm Thermaltake Riing exhaust fans up top
AMD,YD270XBGAFBOX,5,Excellent Choice For The Budget Conscious,2018-11-18,Pros:-Lower price point makes it a good alternative for the budding pc builder/upgrader-Decent air cooler with fancy RGB color thingies-Good performance for the price value,"Cons:-Fans can get a bit loud (and CPU a bit warmer) during heavy usage-With that being said, you may want to reconsider an improved CPU cooler in later upgrades down the road","Other Thoughts:Old rig is 7 years old (i7 2700k) and showing it's age. I figured it's time for a new build. Since I game/draw/animate and stream and budget is an issue, I have to find that happy medium where it can do my current PC needs without breaking the bank.Originally was going for the i7 8700k since my old 2700k has served me well but the price point and my current financial situation forced me to look for alternatives which is the Ryzen series chips and I liked what I saw: it's ability to multi task with it's 8 physical cores/12 threads for various applications for it's price point and I figured I can use the extra money saved to invest in a GPU (RTX 2070) instead. The air cooler that comes with it is a nice enough entry level CPU air cooler instead of spending that saved extra money (which again, I spent it on the GPU instead) for an aftermarket CPU cooler.Sure, as far as performance goes compared to the i7 8700k option, this chip is just a tad bit behind in some aspects and then again, it excel in some areas. I knew what I will be getting with the Ryzen option and I'm totally fine with it.All in all, I was able to find that nice compromise between affordability, future proofing and it's enhanced ability to multi task. So for a budget gamer/artist/budding streamer like me, it's fills that quota quite fine.New rig is as follows:AMD 2700x CPU w/Wraith Spire CPU CoolerCorsair Vengeance RGB 16GB 3200MHzASUS RTX 2070 8GBx1TB Samsung EVO SSDx2 500GB M.2 SATA/NVME SSDx1 2TB HDD (from the old rig)EVGA G+ 750WCorsair 275R case"
