EVGA,06G-P4-6163-KR,5,Great video card,2019-02-14,Pros:-awesome performance for the price-evga warranty/support,Cons:-none,Other Thoughts:Card is a couple years old now but has performed flawlessly in that time. No complaints at all and EVGA is always the best for customer service if there is ever a problem.
EVGA,06G-P4-6163-KR,5,Buy this card from Newegg,2018-10-04,"Pros:- Small factor- Fans do not go over 1300rmp under load and are silent- 22 C idle; low 60's when playing games- Evga has great customer support, which alone is worth it","Cons:- Got this card locally cause I couldn't wait for delivery.. big mistake. Card was running 45C idle, and 80C under load. Fan was going 2800 rpm and sounding like a leaf blower. I couldn't play games even with my open ear headphones on.","Other Thoughts:Local retailer CanadaComputers didn't want to replace the card under 14 day replacement warranty, they said it is final sale (contrary to what is stated on the product page). Did RMA with EVGA 2 days later I got a new card that is running great.Kinda wish that I got the proper card the first time around, but still cannot take an egg off."
EVGA,06G-P4-6163-KR,5,Great video card!,2018-09-06,"Pros:Well built....small, compact, stays cool and works great!",Cons:None,Other Thoughts:Works great with my MSI Z370 M5 Gaming MB!
EVGA,06G-P4-6163-KR,5,Powerful but NOISEY,2018-09-04,Pros:Far exceeds my expectations. Runs everything I've thrown at it with Ultra/Extreme settings.,"Cons:LOUD when running bigger games. Seriously.. You might think a miniature jet is taking off from your computer. Not enough to take a star off, but something to keep in mind if you want a silent rig.","Other Thoughts:From all the research I've done, this card is the very best price to performance value at the moment.EDIT: After close to a year of use, this thing is still going strong and performing so much better than I ever expected."
EVGA,06G-P4-6163-KR,5,It does what it does and does it well,2018-08-21,"Pros:Out of the box, it posts decent temps and isn't a power hog. Farcy 5 on all ultra settings w/a few modifications to bump up frame rates; ditto for Battlefront 2 and the Wolfenstein titles. It benchmarks decent FPS numbers in 1080p settings. I got this a entry/mid level build for my rig since I'm still pretty new at PC building, so this gave me what I desired at the time. I wasn't expecting blazing 4K gaming or was going to demand 3D rendering that a 1080 Ti would do without breaking a sweat.  I've been learning as I go with overclocking and this thing sure has taken a beating and hasn't quit yet.","Cons:There are some comments, but nothing that would make me take an egg/star away.  Tends to get a bit warm (75-77c) when overclocked, but that could also just have been the small form factor and just normal for a single fan card. I also didn't play with the fan curve. I kind of was hoping the ""EVGA GEFORCE..."" lettering on the side was LED, but it's not. Not many people like that, but I do. No backplate for bling or heat dissipation. XOC desn't allow for much tweaking with this model GPU, which I guess is understandable for an entry/mid level card.","Other Thoughts:I would definitely recommend this card to someone. Just don't expect it to give you gtx 1080 FPS or get blown away with 4K graphics. Only two things I'd change would be to give it a backplate and that cool LED light for the lettering on the side. Other than that, it's a solid buy."
EVGA,06G-P4-6163-KR,5,Quality product.,2018-08-10,Pros:Great performance.Super quiet.Convenient size for MT builds.,Cons:None so far.,None
EVGA,06G-P4-6163-KR,2,RMA'd twice,2018-08-09,Pros:- Runs well for 1060- Lowish heat output,"Cons:- My first card (brand new) broke after 4 months of use, it fans stopped spinning and black screen on post.- My 2nd card (refurbed one they sent me via RMA) broke after 1 year, DVI port stopped working and eventually card stopped output","Other Thoughts:I'm not sure, when this card works, it works very well for the price point, but I've gone through TWO of them in 2 years and I'm not overclocking, they have proper cleaning/air cooling, etc.... The RMA process is a nightmare for Australia to Taiwan office because they never pick up the phone (english, if you select Chinese they pick up immediately).A bit bummed because I've already spent 100$ in postage sending the RMA's back to the warehouse which means I could have bought a 1070 at this point.  I asked for a different card and both times they've sent me refurbed models that seem to break.My warranty is almost at the 3 year point and I'm afraid this 3rd card will break and I'll be out of luck.This is my 4th EVGA card in my lifetime (25+ years of gaming) and it might be my last sad to say. :("
EVGA,06G-P4-6163-KR,5,This thing performs like crazy!!,2018-08-06,Pros:Runs really strong and decently cool. Sits around 65°c at full throttle.,Cons:It could look a little better.,"Other Thoughts:I bought this as kind of a filler until I could get a 1080ti or the next generation gpu when they come out. Now that I've got it and overclocked it, I don't know if I can justify upgrading. With all epic settings on Ark and some settings like shadows and sky effects turned down, I'm getting anywhere from 50 to 100fps easily. It's definitely putting me in a hard spot to upgrade..."
EVGA,06G-P4-6163-KR,5,Aye,2018-07-13,"Pros:-EVGA swag is undeniably cool.  (Love their customer service.)-1080p on 1092x1024?  No problemo! (I might be getting older - but - I'm content with monitor as it is.-I turned on V-Sync and kept it on.  This plays all the current AAA titles like butter on bread.)-Below $300-Efficient and compact, baby!  (There's nothing quite like being able to remove power cords from a case.)","Cons:-Might only last a couple years at max settings in certain titles, but coming from a 760GTX with a stock of games I'm still enjoying from this generation - I'm not too worried.   (My next big upgrade will probably finally lift me off from the x58/1366 chipset.  Until then I have plenty left in this rig to get me by and so will you.)","Other Thoughts:It's louder, but not annoyingly so.  I was worried it'd be a jet turbine on liftoff compared to my dual-fan solution.   I haven't OC'd or messed with settings, but I hear it has some further potential there, too."
EVGA,06G-P4-6163-KR,5,"Its EVGA, don't think twice",2018-07-04,"Pros:Tiny card, packs a punch",Cons:its not a 1080ti,Other Thoughts:This thing is screaming to get cranked out with VR. Runs beautifully and does a whole lot of work while fitting more than comfortably in a mid-sized case. For someone who wouldn't typically overclock the SC does just fine.
EVGA,06G-P4-6163-KR,5,Pretty beefy card for the price/size.,2018-07-02,Pros:It was pretty plug and play. Update the drivers on this baby beast and ride the dragon. It plays all my games at max setting and looks great doing it.,"Cons:Idk, I guess a con is that it's not a 1080?",Other Thoughts:I do recommend this little guy. It's compact and awesome.
EVGA,06G-P4-6163-KR,5,"Small, Tasty Card",2018-06-28,Pros:Good speed and quality you expect to get from EVGANice dust covers for ports that are not being used.,"Cons:It is an ""older"" technologyConstantly sold out (but that is because it sells fast)",Other Thoughts:The fan isn't THAT loud. I've never come across a system or component that was truly silent or quiet.
EVGA,06G-P4-6163-KR,5,Powerful little card,2018-06-27,"Pros:Its a small, powerful card.  1080p Gaming this is a card i'd recommened as long as your willing to turn down some settings sometimes to keep the frame rate up.","Cons:While small is a pro, its also a con in this case.  The small heatsink and fan make the card rev up a bit to stay cool.  Runs warmer unless you set a fan speed profile yourself to a higher level.",Other Thoughts:Good card all around.
EVGA,06G-P4-6163-KR,5,Great GPU,2018-06-23,"Pros:- Easy Install- Idles at 40, and under max load it's usually 69-71- Runs all my games on ultra between 60 - 150 fps (Modded Skyrim / Fallout 4, Doom, GTA V, Tetris, Pong)- No Coil Whine or other problems","Cons:- A bit more expensive than it used to be, but neither Newegg or EVGA are at fault for it obviously. $350 after taxes isn't bad for what I needed.- Fan is pretty loud when running games at Ultra with high frame rates, but it doesn't bother me because I wear headphones. It may be irritating to some people.","Other Thoughts:My first graphics card was a GT 660 (which could do little to nothing) and then I upgraded to a GTX 750 Ti (which could play old games like Portal and Bioshock), and finally upgraded to this. I had upgraded every other part of my PC but never got around to the GPU until now. To be honest, my main dream was to play modded Skyrim without going under 60fps, and this card was exactly what I needed. A little late for Skyrim hype, huh?The only reason not to recommend this card is the fan noise, but if you wear headphones like me, you won't notice it. I'm very satisfied with this GPU."
EVGA,06G-P4-6163-KR,5,Very Pleased,2018-05-18,Pros:Easy InstallFeels sturdy (some of the long 2 and 3 fan cards can feel too flexible)Nice upgrade for this PC (from an R9 380x that died)Low power consumption.,Cons:Price (but that's all graphics cards re; cryptomining),Other Thoughts:Replaced a dead card on the Frankenstein PC (made up of other PCs parts). So far works great and is a noticeable upgrade.
EVGA,06G-P4-6163-KR,5,It's great!,2018-04-28,"Pros:- I got this for 380 cad when it was on sale, it's a good card, it's small and compact, which is a bonus. bigger doesn't always mean better, this card performs really well even though it has 1 fan.- Can run battlefield 4 ultra in 120+ fps- Can run battlefield 1 ultra in 90+ frames- Can run fortnite ultra / high in 150 - 250 frames- Since it's 6gb it can serve you in the long run, it also future proofs it as new games will eventually consume more vram.",Cons:- Everything is fine so far.,"Other Thoughts:- Would recommend to people who would like to play on high / ultra, because this card can handle high settings.- Overall a great card."
EVGA,06G-P4-6163-KR,4,Good card,2018-04-28,Pros:PerformanceBrand6 GBSmall size,Cons:High price right now,Other Thoughts:This card performs well and had 6 gb which is great for future proof. It is also small so it will fit most cases. EVGA is a good brand for video cards and well recommended. If you can find better price go ahead. You have to check everywhere and do price match when available to save a bit. I got mine under 400 cdn. I remove a star for the high price.
EVGA,06G-P4-6163-KR,5,Great Product! High Price.,2018-04-25,Pros:Everything works fine and it is a great GPU,Cons:The inflated prices from cryptocurrency are a bit sad.,Other Thoughts:I bought this around Christmas and its still going strong.
EVGA,06G-P4-6163-KR,4,Amazing graphics,2018-04-16,"Pros:I’ve never been able to play a game on ultra settings with solid 100 FPS and no frame drop. Amazing. Really feels like this piece of hardware was put together well, somethings you can just feel in your hands and know it’s not cheaply made.",Cons:The price made me want to throw up but I bought it anyway. Lol this thing is LOUD under load. Sounds like your PC is about to get ready for liftoff as soon as you start gaming. Maybe the loudest I’ve ever heard for single fan GPU.,"Other Thoughts:Installation was cake. EVGA XOC software is somewhat confusing but manageable. I recommend checking out the fan speed settings, options are quiet mode etc. The card runs hot normally hence the high fan speeds even with good air flow in the case. Check your temps and maybe game with headphones. The only time the fan kicks into tornado mode is under ultra settings in games. Oh yeah I wish the crypto people would go away so gaming gpu prices can be reasonable again.Cheers"
EVGA,06G-P4-6163-KR,5,Great card choice for less money,2018-04-15,Pros:I have used this card since it was released and I have not been let down. I have gone head to head with other flagship cards like the 1080ti and I had better performance. This card boosts up to 2113MHz if it is liquid cooled and stays under 25 degrees Celsius. This card has no problem handling 4K resolution without a significant drop in fps.,Cons:None.,"Other Thoughts:If you are looking for a good quality card like the 1080ti but don't have the money, then this card is for you."
EVGA,06G-P4-6163-KR,5,Fantastic!,2018-04-06,Pros:-Runs Nearly everything on 1080p ultra-Low power consumption-Several EVGA programs and Nvidia program accessibility,Cons:-No VGA port,None
EVGA,06G-P4-6163-KR,5,THE MIGHTY MEGA mini MACHINE,2018-03-14,Pros:Can run current gen games no problem.,Cons:4k Bottoms out a bit but that is expected. I run full 1080 Ultra everything on a 4K TV.,Other Thoughts:HUNT : Showdown almost at Full Settings no problem!
EVGA,06G-P4-6163-KR,5,Easy 23MH for this card,2018-03-14,Pros:-Good for mining and gaming as well-Low power consumption and low noise,Cons:- Can't any find as of now any flaws,None
EVGA,06G-P4-6163-KR,5,Excellent performance and a good price.,2018-03-10,"Pros:Excellent Performance. I was looking for a reasonably priced card that would play most games at no less than 60 fps at high settings. For the games played in my family, this has far exceeded those expectations.Price was competitive compared to other cards in the 1060 family. Nearest card with comparable specs and reviews was fifty bucks more.","Cons:None so far. I've been running it less than a week. If anything changes, I'll update the review.","Other Thoughts:Easy to install. The only problem I had was finding one of the 6-pin power cables for my modular PS.  Obviously, not a fault of the card. It came with a install DVD, but my rig has no player, so I had to download from GeForce's website. Easy to find, and no issues there. Card came up in default resolution as expected. I ran the install, and it's worked flawlessly since."
EVGA,06G-P4-6163-KR,1,hynix memory on evga lol,2018-02-28,Pros:performance is good unless you are unlucky and got a card with hynix memory like I didit's does run hot but not that much for single fan it's a pretty good cooling and it fits in my mini itx builds just fine,Cons:fans are loud under load like annoying loud (I read reviews saying fans were quiet haha I don't think they are quiet unless you are deaf just saying),Other Thoughts:I have 3 of these on builds but my very recent card has hynix memory prices went up for 300 to 359 and for what from micron to hynix downgrade lol ok evga I think it's time to switch to some other company now
EVGA,06G-P4-6163-KR,1,These Video cards arent as fast as they use to be when it comes to mining Ether :(,2018-02-21,"Pros:Unfortunately, there isn't anything that I can say that's positive.  I spent way more than twice of what its worth and it underperformed others of the same make and model number!  Yes, there is a positive!  Now I know not to buy this model of video card anymore.","Cons:For whatever reason, Out of the box they only put out 15.3 MHs instead of 19.8 MHs when mining Ether, that's about 18% drop in MHs from previous cards of the exact same make and model?","Other Thoughts:Don't buy this card if you plan on using it for mining Ethereum, waste of good money.  If You're a gamer, it's probably fine, just expensive like all of the cards out there."
EVGA,06G-P4-6163-KR,4,Great product but the fan is indeed loud!,2018-02-18,Pros:Great performance for the price!Very small will fit in any tower that's for sure.Replace my GTX 760 2GB and I definitely see a big difference. Most game can be played on Ultra and High settingsBF1 is between high and UltraPUBG is mostly on ultra and some very low setting like foliage XD helps u see the sneakers in the bushFallout 4 ultra all the wayYou get the idea !,Cons:Fan was ok at first but after a few weeks it started to be loudly noticeable! But only when playing games it does!I just put my headset or put the music louder on speakerMy towers' fans were already loud but that just beats it !Maybe I would have bought the double fans gc instead but you just get used to it !,"Other Thoughts:If you have an old geezer card like mine was with 2GB, I definitely recommend you buying this card you won't regret it!"
EVGA,06G-P4-6163-KR,5,Amazing little card,2018-02-15,"Pros:-Runs very quietly, even under load-High framerates in every game I play-Low power consumption-Small size",Cons:-Runs a little hot due to single-fan design-Not a 1080 Ti,None
EVGA,06G-P4-6163-KR,5,Excellent Card!,2018-02-01,Pros:Fast.quiet.low power.Higher FPS.Great graphics.Simply the best card there is.,Cons:NONE.,"Other Thoughts:Highly recommended.Graphis are best, FPS in-game is excellent.Research this card you'll find what I found... the best.easily competes with the GTX 1070 Gaming, my 970 and 780ti are beat by this little card.Excellent card!Awesome build EVGA...   H^5! on this one.This card is killin everything we throw at it.SYS Specs:i7 7700k @ 4.832GB 2400 Ballistic Sport LT ram @2666 oc.Toshiba OCZ RD400 M.2 256GB PCI-Express 3.0 x 4 .EVGA GTX 1060 SC GAMING 6GB single fan.etc...etc..."
EVGA,06G-P4-6163-KR,5,One of the best cards I've had,2018-01-29,"Pros:-Small length, only 6.8 inches, so it leaves space inside the case. (I'm using a Phanteks P400)-6GB, better than 3GB for graphic-intensive games-Easy to install-Mine came with an EVGA poster, thanks EVGA","Cons:-Noticably loud during intensive gaming, (Can't really hear it whenever I have my headphones in, so it doesn't bother me.)",None
EVGA,06G-P4-6163-KR,5,Smitten,2018-01-25,"Pros:Luckily I got one of these when They where $275,at it's Current Price, it would have been out of My Budget...I Love this Card, it Plays all My Games Smooth Like Butter, at 60 FPS...it's Twice the Card My Old GTX~960 was,EVGA has been Good to Me...","Cons:if I find any, I'll let You Know,(Current Price is more than Twice what I Paid for it)...","Other Thoughts:Games I Play:Fallout 3/ Fallout NV/ Fallout 4<==GodRays off, (Because I don't Like them)SkyRim SETomb Raider AnniversaryWorld of WarcraftDiablo II/ Diablo IIILegend of GrimRock I~II(Noteworthy, I Play at 1440x900 Resolution)System Specs:Asus 970 970 PRO GAMING/AURAAMD FX~8350EVGA GTX 1060 SC 6Gb32Gb DDR3512Gb SSD3Tb HDD"
EVGA,06G-P4-6163-KR,4,Amazing card but giving me some issues,2018-01-24,Pros:This card eats every game I play with ease. PUBG runs great maxed out at 1080. I don't really have any intense games but i'm really happy with what it can handle for me. For only having one fan it stays pretty cool and the factory over clocking is really nice.,"Cons:Whenever I start my PC cold, I get multiple issues. Sometimes one of my monitors is at 800x600 while the other is at the native. Sometimes one screen is black and the other has artifacts, and usually neither screen has any picture. When I hit the reset button, both screens come back just fine.It's not a terrible issue but it shouldn't be happening and I'm worried it's a precursor to the card failing down the road.","Other Thoughts:It's a little loud when games are running, but with headphones on who cares?If I wasn't getting the display errors this card would be 5/5. I'm so glad I bought it before these insane price increases and shortages."
EVGA,06G-P4-6163-KR,3,Great buy for the price (this was when I bought the card),2018-01-23,"Pros:Small size, low power, pretty good performance",Cons:Price increases since I bought the card,"Other Thoughts:I bought this card for my son just a month ago and a month later it is 2x the price.  I'm saying it now, unless this changes, this will end PC gaming as we know it.  I bought my 1070 almost 3 years ago for $429 and today that same card is nearly $1,000.  This is to nVidia and AMD:  you guys might like the prices now, but keep in mind game developers are looking at the future and if I'm a developer, I'm building my company around consoles and maybe porting a stripped-down version to the pc.Consoles can skirt the cryptocurrency wars by having their GPUs built directly for them so that only their products can use them.  That keeps the prices down.  I do see console prices going up to reflect GPU price increases, but not the 100% markup I've seen over the last month with discrete cards.  This has been going on for 2 years now so if this doesn't stop soon, PC gaming is dead.  No way would I ever buy a 1060 for the prices they are fetching now.  My son would have to make due with the 670 he had and just turn down settings.I said this when CUDA first arrived that I could see video cards costing thousands because the performance of a typical video card today is far, far, far, far more powerful than even the best servers CPUs.  I worried even then that video cards would be the new CPU where code developers used the GPU to run everything from servers to crunching algorithms (like password breaking)."
EVGA,06G-P4-6163-KR,4,Great if it keeps its drivers,2018-01-22,"Pros:Great for 1080p gaming, 200+ fps on Counterstrike, 70+ fps on Playerunkown and sorta good for mining.",Cons:My device manager seems to always give code 43 whenever I try to boot up Garry's Mod and It gives me a Microsoft Basic Render Driver whenever I boot up Insurgency. This is all hooked up to a 60hz TV(Not a monitor) Via HDMI.,None
EVGA,06G-P4-6163-KR,4,Great little card with one big drawdown,2018-01-20,Pros:-great for gaming-6 gigs of memory is great,Cons:very bad cooler compared to other evga cards.,None
EVGA,06G-P4-6163-KR,3,"Great GFX card, 6GB is crazy for such a small card...BUT...",2018-01-18,Pros:- Very compact card- 6 GB GDDR5- Played most games on High/Max- Would of gave it a solid 5 egg rating if it was still working.,"Cons:- Bought it in late October of 2017, randomly stopped working 1/18/2018Checked all cables, it was snapped in, and the fan was not even spinning.Through in my old GTX 460, boom everything was working.- I like EVGA and have had no complaints about them, hopefully my RMA gets resolved soon!",None
EVGA,06G-P4-6163-KR,4,evga gtx 1060 sc 6 gb- small and powerfull -,2018-01-04,"Pros:perfect for my dell xps 8900, for games at 1080p #1, fan is a little bit noisy,but that's not a problem for me playing with headphones =]",Cons:don't have yet,"Other Thoughts:i recommend this card for playing at 1080p ,Newegg = shipping fast"
EVGA,06G-P4-6163-KR,5,Very Powerfull!,2017-12-30,Pros:QuietHigh fps in anything I throw at itCheaper than most cards at this preformance level,Cons:None so far,None
EVGA,06G-P4-6163-KR,5,"Fast, cool and quiet.",2017-12-28,"Pros:Fast, perfect for running games at 1080pExcellent cooling from dense heat sink with heat pipes and only one fanQuiet, fan doesn't even spin until needed during intense workloadLess than 7"" longOnly one 6-pin PCI-E power cable required",Cons:None,"Other Thoughts:Fast, cool and quiet! Solid 24/7 operation!"
EVGA,06G-P4-6163-KR,5,Evga gtx  1060 6GB SC,2017-12-23,Pros:Easy to installFits in almost any caseRuns games great!,Cons:The noise is the only con I've found. During heavy tasks the single fan can get quiet noisy. I somewhat fixed this by limiting my clock speed and not letting my card boost so high. I was seeing upwards of 2ghz and that's when the fan really ramped up.,None
EVGA,06G-P4-6163-KR,5,Excellent card for the price.,2017-12-16,Pros:Not really willing to shell out a whole lot of money on my current set up which has an old Ivy Bridge i7. T,Cons:None so far after 30+ days of use.,"Other Thoughts:his is a siginificant upgrade to my AMD Radeon 6870 1GB card. I was in CrossFire set up, but so few games actually take advantage of that and then one of the two cards died. Was relying on just the 1 Radeon for a while til its fan died. I had actually replaced the fan on the other card that died a few years ago. Anyway, rather than replace the fan (again), I opted to just bight the bullet and get the card. Completely worth it and has played all games I throw at it without breaking a sweat (Skryim, Total War franchise games, DOOM)."
EVGA,06G-P4-6163-KR,5,Great Performer.  Loud by Default,2017-12-15,Pros:- Performs as it should.- Small profile with respectable cooling performance.- Great customer service from EVGA.,"Cons:The default fan curve is a bit too aggressive for my tastes.  Fan speeds ramp up to 50+% before the card even hits 70C and it can be pretty loud.  This is easily remedied if you use MSI Afterburner or other control software.  Once I made those adjustments, the card was much quieter with only a couple of degrees increase in temperature.  Other than that, I have no issues with this card.",None
EVGA,06G-P4-6163-KR,3,EVGA GeForce GTX 1060 SC GAMING 6GB,2017-12-05,"Pros:Stable 60+ FPS @ 1080P in most current games.Good looking cardSmall Size, fit in any case.","Cons:LOUD LOUD LOUD IT'S VERY NOISY AT FULL LOAD,And if you try to adjust fan speed ( with afterburner or EVGA Software ) it will result in more heat (70+ C).",None
EVGA,06G-P4-6163-KR,4,A bit finicky but still amazing,2017-12-03,"Pros:Extremely powerful for its price (Able to run DOOM on Ultra with no issues)Small, so it fits effectively every form factor MOBO (aside from ITX)","Cons:Mine had a weird incident where it became unrecognized by Windows though I believe this was due to the 11/30/2017 driver update NVIDIA put out as I had no issues until the day after I'd applied it. This required me to run off integrated graphics (or a separate GPU if you lack integrated graphics), uninstall the card through device manager, then reinstall after shut down.",None
EVGA,06G-P4-6163-KR,4,Great card!,2017-12-03,Pros:- Great performance.- Small size fits in most cases and enclosures.- Reasonably priced.,Cons:- Noisy out of the box. It's very quiet until the fan speed reaches 50% speed.,"Other Thoughts:For anyone complaining about the noisy fan, use MSI after burner or any kind of overclocking tool and set the fan profile to quiet mode, or manually set the fan speed to 50% max. The gpu temp will increase to mid 80s, but the fan noise is pretty much inaudible."
EVGA,06G-P4-6163-KR,5,Wonderful flexability,2017-12-03,Pros:-Preforms well overall-Keeps rather cool for a single fan GPU-Plenty of connections for multiple monitor setups,Cons:None,None
EVGA,06G-P4-6163-KR,5,Swell!,2017-11-30,Pros:- 60 FPS on all my games.- Quiet.,Cons:- Nothing yet,None
EVGA,06G-P4-6163-KR,5,Fantastic video card!,2017-11-22,"Pros:DIsclaimer:  I use these for mining crypto coins, and am seeing these run 24/7 at max capacity.  I currently have a total of 24 video cards mining.The heatsink design on this card is much more efficient than it's competitors.  I also purchased the 3GB version of the EVGA 1060, and here's how they perform:Out of the box mining Zcash with EWBF miner (stock settings):1060 6GB - 325H/s @ 65C1060 3GB - 280 H/s @ over 85CWith the GPU clock at 2050(ish - it varies a little while running) and MEM clock at about 4500.1060 6GB - 330-340 H/s1060 3GB - 300-305 H/sIn conclusion, this card runs about 10-15% faster out of the box, and is at least 20C cooler while doing it.  I see complaints about the fan, but I'm not seeing it here.  These run literally all day long, OC'd, and none of them ever even approach 70C, and I have yet to see one running at over 50% fan speed to keep them that cool.","Cons:Because of idiot miners like me, these cost more than they should.  No cons about the card itself.  Again, this thing is fantastic!","Other Thoughts:Buy it.  For gaming, for 3D modeling, or for mining.  You won't regret it."
EVGA,06G-P4-6163-KR,5,Great card when you're limited on space,2017-11-16,"Pros:Great card, runs everything well. Never goes above 70 degrees. Silent operation on most games.",Cons:The fan is very noticeable on games such Overwatch and Battlefield 1.,"Other Thoughts:Definitely recommend this card for those that are limited on space. It would be nice if the fan was quieter on games that push the card. Given the performance, I would buy again."
